Filename,Radius_of_Gyration,Convex_Hull_Volume,Sequence_Entropy,Hydrophobic_Ratio,Charged_Ratio,Polar_Atom_Ratio,Heavy_Atom_Ratio,Average_Phi,Average_Psi,Sequence_Length,Avg_Eccentricity,Max_Eccentricity,Min_Eccentricity,Avg_Closeness,Max_Closeness,Min_Closeness,Avg_Eigenvector,Max_Eigenvector,Min_Eigenvector,Eigenvector_Centrality,K_Core_Number,Assortativity_Coefficient,Path_Length_Mean,Path_Length_Var,Residue_Packing_Density,Atomic_Clashes,Hydrophobic_Patch_Count,Molecular_Weight,Aromaticity,Instability_Index,Isoelectric_Point,GRAVY,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Avg_Packing_Density,Hydrophobic_Clusters,COM_X,COM_Y,COM_Z,Max_Atom_Distance,Num_Atoms,Centroid_X,Centroid_Y,Centroid_Z,Bounding_Box_Volume,Radius_of_Gyration,C_Count,O_Count,N_Count,S_Count,Atom_Count,H_Count,Avg_Distance,Max_Distance,Total_Weight,Density,Average_Phi,Average_Psi,Unique_Residues,Avg_Residue_Mass,Min_CA_Distance,Max_CA_Distance,Shape_Compactness,Num_Residues,Num_Edges,Avg_Degree,Clustering_Coefficient,Betweenness_Centrality,Graph_Density,Z_Spread,Max_Atom_Distance
seq3684@5,16.667,65632.362,3.953,0.398,0.187,0.194,0.512,-1.469,1.483,123,7.141463415,10,5,0.279639099,0.372572816,0.161028062,0.025966041,0.127833658,2.61E-06,0.02596541,16.80813008,0.700392584,3.68878842,2.17186042,30.92520325,35759,607,13194.4168,0.105691057,35.42276423,4.990941048,-0.244715447,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.113821138,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.138211382,0.06504065,0.073170732,0.024390244,0.056910569,122.93,146,9.249,14.912,4.558,62.283,9055,9.249,14.912,4.558,135168.16,16.622,2880,950,790,20,9055,4415,21.739,62.633,65948.42,0.463,-1.46853461,1.482961433,20,107.23,0.29,58.74,2.389,123,593,9.642276423,0.564941111,0.020900731,0.079035053,48.47,62.63
seq1658@12,16.089,55448.457,3.975,0.398,0.187,0.194,0.512,-1.601,1.46,123,6.712195122,9,5,0.286411783,0.379012346,0.16863499,0.023995643,0.136901065,2.69E-06,0.023995135,17.07317073,0.718874026,3.580477229,1.860084986,31.9804878,36716,674,13210.4824,0.105691057,36.81626016,4.990941048,-0.217886179,0.097560976,0.024390244,0.056910569,0.048780488,0.024390244,0.113821138,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,125.68,142,5.392,17.325,1.704,56.461,9055,5.392,17.325,1.704,124019.49,16.101,2880,945,790,25,9055,4415,21.108,56.926,66028.77,0.497,-1.601177898,1.459527822,20,107.36,0.42,52.54,2.47,123,599,9.739837398,0.5679068,0.020513007,0.079834733,51.08,56.93
seq776@4,15.957,54796.71,3.942,0.398,0.179,0.194,0.512,-1.533,1.477,123,7.143089431,10,5,0.294935684,0.391332059,0.156035578,0.026403989,0.133649995,1.59E-07,0.026403333,18.41300813,0.688656959,3.488315156,1.914110936,33.47804878,38417,665,13092.3281,0.105691057,32.2097561,5.234155083,-0.216260163,0.097560976,0.016260163,0.056910569,0.040650407,0.024390244,0.130081301,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,133.37,138,3.464,17.603,-4.402,62.079,8995,3.464,17.603,-4.402,137456,15.921,2860,935,790,20,8995,4390,20.808,62.713,65443.02,0.468,-1.532530634,1.476931247,20,106.41,0.49,58.73,2.396,123,588,9.56097561,0.545798195,0.020312536,0.078368653,56.04,62.71
seq5046@2,16.456,61485.53,3.944,0.398,0.179,0.194,0.512,-1.544,1.466,123,6.871544715,9,5,0.284474558,0.378311768,0.169472813,0.026775272,0.122931392,3.43E-06,0.026774419,17.70406504,0.687500089,3.616878842,2.055129739,32.28617886,36746,669,13106.3547,0.105691057,33.69837398,5.26297245,-0.216260163,0.097560976,0.016260163,0.048780488,0.048780488,0.024390244,0.130081301,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,126.44,140,10.166,14.535,4.179,62.024,9010,10.166,14.535,4.179,125786.85,16.419,2865,935,790,20,9010,4400,21.478,62.343,65513.15,0.489,-1.544022153,1.46618152,20,106.52,0.29,55.64,2.405,123,608,9.886178862,0.559994461,0.020072412,0.081034253,48.86,62.34
seq1756@17,16.794,59690.733,3.95,0.398,0.187,0.195,0.513,-1.495,1.421,123,6.676422764,9,5,0.277796176,0.373025516,0.181979846,0.024107365,0.134596484,1.21E-05,0.024106368,16.96585366,0.682714246,3.684648027,2.019001147,30.5300813,34859,651,13136.3377,0.105691057,33.85691057,4.990941048,-0.26097561,0.105691057,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.06504065,0.024390244,0.056910569,119.46,143,9.122,15.561,3.587,60.587,9005,9.122,15.561,3.587,139540.83,16.776,2865,945,790,20,9005,4385,21.974,60.587,65658.03,0.458,-1.49481734,1.421227682,20,106.76,0.3,54.38,2.45,123,615,10,0.547021683,0.019865332,0.081967213,52.64,60.59
seq2308@9,16.761,55703.877,3.952,0.398,0.195,0.194,0.511,-1.521,1.525,123,6.733333333,9,5,0.280495211,0.375305623,0.18851704,0.024892921,0.13219242,2.29E-05,0.02489228,18.02764228,0.673859042,3.654560116,2.097536909,32.75284553,37969,696,13192.4473,0.105691057,33.85691057,5.283605003,-0.249593496,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.040650407,0.056910569,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,127.55,133,5.282,15.533,6.206,60.72,9072,5.282,15.533,6.206,132457.53,16.715,2880,940,800,20,9072,4432,21.838,61.183,65945.66,0.477,-1.521046189,1.524598213,20,107.23,0.46,55.61,2.374,123,605,9.837398374,0.551243265,0.020026149,0.080634413,52.46,61.18
seq1688@7,16.682,56149.1,3.953,0.398,0.187,0.194,0.512,-1.543,1.476,123,6.61300813,9,5,0.276246422,0.364608076,0.191695286,0.022879777,0.141435483,3.35E-05,0.022878513,16.88780488,0.698511459,3.701479278,2.011751265,30.39674797,35205,659,13194.4168,0.105691057,33.54390244,4.990941048,-0.244715447,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.113821138,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.138211382,0.06504065,0.073170732,0.024390244,0.056910569,120.13,131,6.023,17.045,2.329,58.577,9055,6.023,17.045,2.329,117426.77,16.676,2880,950,790,20,9055,4415,21.855,58.577,65948.42,0.531,-1.543076016,1.475533844,20,107.23,0.41,53.25,2.462,123,593,9.642276423,0.557702844,0.020531732,0.079035053,46.32,58.58
seq1897@7,14.169,33360.442,3.95,0.398,0.187,0.195,0.513,-1.638,1.483,123,5.517073171,7,4,0.330587525,0.437633642,0.226651901,0.031975002,0.101718122,0.000178093,0.03197404,26.5203252,0.50233688,3.074392227,1.34526228,46.60487805,58235,1112,13136.3377,0.105691057,34.38861789,4.990941048,-0.26097561,0.105691057,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.06504065,0.024390244,0.056910569,186.01,95,8.247,15.629,9.492,50.041,9005,8.247,15.629,9.492,77106.28,14.146,2865,945,790,20,9005,4385,18.526,50.866,65658.03,0.801,-1.63848041,1.482771522,20,106.76,0.13,46.44,2.43,123,597,9.707317073,0.548625313,0.019998612,0.079568173,37.36,50.87
seq1209@4,15.779,54140.036,3.963,0.407,0.187,0.193,0.513,-1.534,1.495,123,6.466666667,9,5,0.294302182,0.391831525,0.17750795,0.025206794,0.126032249,1.14E-05,0.02520619,18.25203252,0.696142185,3.474979179,1.692895672,33.39674797,38596,689,13240.4867,0.113821138,31.60081301,4.990941048,-0.245528455,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.12195122,0.06504065,0.073170732,0.024390244,0.06504065,131.3,132,7.749,17.228,-0.633,56.721,9085,7.749,17.228,-0.633,113991.63,15.771,2905,945,790,20,9085,4425,20.718,56.721,66178.75,0.555,-1.534327445,1.494592808,20,107.61,0.22,50.48,2.517,123,605,9.837398374,0.55858561,0.020356596,0.080634413,48.6,56.72
seq1327@4,17.049,67147.397,3.951,0.398,0.187,0.195,0.513,-1.513,1.39,123,7.066666667,10,5,0.270358329,0.362884161,0.162821533,0.022848047,0.145315282,1.47E-06,0.022847763,14.47804878,0.74878489,3.795127239,2.117080625,27.11056911,30393,513,13150.3642,0.105691057,31.20650407,4.961214256,-0.241463415,0.097560976,0.016260163,0.06504065,0.040650407,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,106.14,164,6.13,15.597,1.642,66.244,9020,6.13,15.597,1.642,153307.6,17.025,2870,945,790,20,9020,4395,22.344,66.405,65728.16,0.412,-1.513458712,1.39007894,20,106.87,0.17,60.12,2.47,123,613,9.967479675,0.549013489,0.01979704,0.081700653,51.49,66.4
seq8147@4,15.028,49660.11,3.962,0.398,0.195,0.195,0.513,-1.514,1.554,123,6.320325203,8,5,0.307465694,0.4,0.178436501,0.027905192,0.119761165,4.28E-06,0.027904037,20.84390244,0.621646615,3.324994382,1.601936323,38.00325203,45061,817,13222.4269,0.105691057,34.73252033,4.809056282,-0.266666667,0.097560976,0.016260163,0.06504065,0.048780488,0.024390244,0.113821138,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,150.48,136,4.962,18.155,-3.952,52.257,9060,4.962,18.155,-3.952,115368.49,15.053,2885,955,790,20,9060,4410,19.715,52.438,66083.43,0.559,-1.513575215,1.554439404,20,107.45,0.31,47.71,2.491,123,598,9.723577236,0.554901873,0.020238736,0.079701453,50.74,52.44
seq2119@3,16.318,60405.772,3.95,0.39,0.187,0.195,0.513,-1.546,1.408,123,6.803252033,9,5,0.283961626,0.377846154,0.178436501,0.025288342,0.132496096,4.08E-06,0.025287747,16.51382114,0.725260628,3.613140327,1.933269066,30.79837398,35021,587,13180.3902,0.105691057,37.42926829,4.990941048,-0.262601626,0.089430894,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.138211382,0.06504065,0.073170732,0.024390244,0.056910569,121.64,145,6.414,16.844,1.891,61.425,9040,6.414,16.844,1.891,138503.1,16.278,2875,950,790,20,9040,4405,21.378,62.291,65878.29,0.464,-1.545566241,1.407690155,20,107.12,0.18,56.43,2.461,123,610,9.918699187,0.555853113,0.02001954,0.081300813,58.97,62.29
seq3501@3,16.648,64928.465,3.962,0.398,0.195,0.195,0.513,-1.61,1.493,123,6.964227642,9,5,0.277317964,0.373706634,0.162262156,0.027427531,0.121422292,4.94E-07,0.027426546,18.30569106,0.664227599,3.716750611,2.194923462,31.97398374,37967,694,13222.4269,0.105691057,35.42276423,4.809056282,-0.266666667,0.097560976,0.016260163,0.06504065,0.048780488,0.024390244,0.113821138,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,126.92,145,4.295,17.399,-0.487,57.972,9060,4.295,17.399,-0.487,124515.61,16.624,2885,955,790,20,9060,4410,21.745,59.028,66083.43,0.513,-1.61021919,1.493330373,20,107.45,0.18,55.67,2.405,123,587,9.544715447,0.556600784,0.02105604,0.078235373,53.15,59.03
seq3832@3,15.574,55717.353,3.964,0.398,0.195,0.194,0.512,-1.56,1.381,123,6.357723577,8,5,0.301487365,0.39844257,0.187595478,0.026372496,0.134046537,5.10E-06,0.026371959,18.45691057,0.696791754,3.393847578,1.607303281,33.92845528,38398,673,13263.5252,0.105691057,33.54390244,5.283605003,-0.274796748,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.113821138,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.056910569,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,131.78,137,5.632,17.141,4.481,53.687,9120,5.632,17.141,4.481,124586.81,15.554,2895,945,805,20,9120,4455,20.46,54.578,66299.04,0.513,-1.560477734,1.381422493,20,107.8,0.32,51.48,2.519,123,594,9.658536585,0.549040887,0.020156125,0.079168333,53.34,54.58
seq5784@3,15.888,55394.295,3.958,0.398,0.179,0.196,0.514,-1.57,1.388,123,6.583739837,9,5,0.291215505,0.385436284,0.171940633,0.025741857,0.13053507,2.01E-06,0.02574072,18.01788618,0.677276877,3.521475312,1.821608346,33.24390244,37819,712,13150.3211,0.105691057,33.85691057,4.781091499,-0.238211382,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.024390244,0.089430894,0.016260163,0.024390244,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,130.61,141,8.546,15.423,5.607,58.001,8995,8.546,15.423,5.607,118289.42,15.888,2865,950,790,20,8995,4370,20.826,58.001,65722.91,0.543,-1.569533939,1.388059312,20,106.86,0.37,52.79,2.476,123,599,9.739837398,0.556958489,0.020511905,0.079834733,48.53,58
seq6687@3,16.546,62275.489,3.969,0.398,0.187,0.195,0.513,-1.546,1.374,123,6.759349593,9,5,0.276695564,0.368547419,0.179637215,0.023434225,0.143159123,3.77E-06,0.023433679,14.96097561,0.739655614,3.703832375,1.924827536,27.92195122,31145,557,13196.4558,0.105691057,34.54715447,4.990941048,-0.260162602,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.024390244,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.06504065,0.024390244,0.056910569,109.52,159,9.128,15.062,4.971,57.038,9040,9.128,15.062,4.971,112631.664,16.553,2875,945,790,25,9040,4405,21.765,57.964,65958.64,0.551,-1.545534265,1.37399805,20,107.25,0.35,52.86,2.538,123,591,9.609756098,0.555524557,0.020529529,0.078768493,49.21,57.96
seq3090@2,16.47,63425.027,3.97,0.393,0.206,0.195,0.512,-1.46,1.465,107,7.091588785,10,5,0.285007329,0.381701215,0.160940325,0.028382349,0.134983084,7.18E-07,0.028381473,16.29719626,0.690741023,3.630661193,2.189793754,29.64672897,30313,501,11471.5684,0.102803738,38.75420561,5.26297245,-0.293457944,0.102803738,0.018691589,0.056074766,0.056074766,0.028037383,0.121495327,0.009345794,0.018691589,0.037383178,0.093457944,0.018691589,0.018691589,0.009345794,0.037383178,0.056074766,0.130841121,0.056074766,0.056074766,0.018691589,0.056074766,117.48,140,3.997,16.533,0.315,63.269,7875,3.997,16.533,0.315,149111.28,16.398,2495,820,695,20,7875,3845,21.423,63.91,57339.06,0.367,-1.460187122,1.464691048,20,107.17,0.36,57.51,2.359,107,465,8.691588785,0.557349556,0.023429142,0.081996121,58.94,63.91
seq3671@2,16.945,59347.192,3.954,0.398,0.187,0.194,0.512,-1.58,1.356,123,7.022764228,10,5,0.273876093,0.363528715,0.173250564,0.023260719,0.137275135,1.14E-05,0.023259795,16.12682927,0.720832618,3.74148721,2.100473669,29.43739837,33807,604,13164.3908,0.105691057,33.85691057,4.990941048,-0.241463415,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,115.29,149,4.501,16.993,1.889,65.933,9035,4.501,16.993,1.889,150345.03,16.923,2875,945,790,20,9035,4405,22.15,66.699,65798.29,0.431,-1.579520229,1.356178245,20,106.99,0.52,60,2.431,123,600,9.756097561,0.55742963,0.020326855,0.079968013,57.7,66.7
seq4054@2,16.866,57972.739,4.02,0.39,0.203,0.194,0.515,-1.497,1.465,123,6.837398374,9,5,0.276570349,0.363744076,0.179900381,0.023761927,0.132697559,9.73E-06,0.023761074,16.63902439,0.714100003,3.705212506,2.105826885,30.42439024,35243,685,13370.5939,0.113821138,44.90081301,5.041641426,-0.419512195,0.105691057,0.016260163,0.056910569,0.056910569,0.024390244,0.105691057,0.008130081,0.016260163,0.032520325,0.081300813,0.016260163,0.016260163,0.032520325,0.048780488,0.056910569,0.130081301,0.048780488,0.056910569,0.032520325,0.056910569,119.85,143,6.524,16.896,-0.625,63.504,9145,6.524,16.896,-0.625,134797.11,16.86,2935,945,810,20,9145,4435,22.031,64.111,66829.33,0.477,-1.497345414,1.464880428,20,108.66,0.28,57.74,2.415,123,591,9.609756098,0.560596066,0.020532834,0.078768493,47.64,64.11
seq6029@2,18.183,76375.666,3.898,0.398,0.179,0.194,0.511,-1.521,1.599,123,7.798373984,11,6,0.25602886,0.343977591,0.151679842,0.024811962,0.131942809,1.04E-06,0.024811604,13.63089431,0.74481987,4.031600238,2.698029781,25.28617886,27526,460,13042.2661,0.105691057,34.8504065,4.95535984,-0.196747967,0.097560976,0.016260163,0.056910569,0.040650407,0.024390244,0.130081301,0,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.138211382,0.06504065,0.073170732,0.024390244,0.056910569,98.02,174,8.832,13.973,3.681,68.405,8965,8.832,13.973,3.681,193880.36,18.142,2845,940,780,20,8965,4380,23.653,68.989,65192.69,0.324,-1.521337744,1.598549031,19,106,0.25,63.59,2.344,123,596,9.691056911,0.547646121,0.020495383,0.079434893,62.67,68.99
seq6@4704,17.582,73242.954,3.927,0.398,0.187,0.195,0.513,-1.498,1.393,123,7.341463415,10,5,0.26032559,0.350057013,0.156993096,0.022601848,0.15060156,8.02E-07,0.02260107,13.78699187,0.74607062,3.952314099,2.37186843,25.64878049,28317,512,13132.3672,0.105691057,36.49756098,4.792459297,-0.237398374,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0,0.016260163,0.032520325,0.081300813,0.024390244,0.016260163,0.008130081,0.048780488,0.048780488,0.138211382,0.06504065,0.073170732,0.024390244,0.056910569,99.79,175,8.539,15.01,-0.07,62.332,8995,8.539,15.01,-0.07,143653.6,17.554,2855,950,780,25,8995,4385,23.035,62.332,65638.18,0.436,-1.497603836,1.393111479,19,106.73,0.59,56.85,2.465,123,603,9.804878049,0.543270686,0.019899478,0.080367853,55.82,62.33
